com.samsung.shealth.report,6212007,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/Toronto,1576990800000,2019-12-29 20:34:36.068,2019-12-29 20:34:35.331,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,46151c57-aa4f-4869-9b31-6a5d16168511,46151c57-aa4f-4869-9b31-6a5d16168511.compressed_content.json,
America/Toronto,1629000000000,2021-08-22 19:35:53.420,2021-08-22 19:35:52.325,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,bf4795ab-e7cb-4075-b59d-41aaccbb22f2,bf4795ab-e7cb-4075-b59d-41aaccbb22f2.compressed_content.json,
America/Toronto,1632024000000,2021-09-27 19:35:40.587,2021-09-27 19:35:38.177,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,ace9a521-c8fc-4120-95c6-9f89059b7108,ace9a521-c8fc-4120-95c6-9f89059b7108.compressed_content.json,
America/Toronto,1580619600000,2020-02-09 20:56:15.516,2020-02-09 20:56:14.776,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,5ac2486b-eb12-4870-8295-5913dbf9545f,5ac2486b-eb12-4870-8295-5913dbf9545f.compressed_content.json,
America/Toronto,1632628800000,2021-10-03 19:35:04.041,2021-10-03 19:35:02.676,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,72cc4096-2bac-48cf-889f-6b6fdbfb9c8d,72cc4096-2bac-48cf-889f-6b6fdbfb9c8d.compressed_content.json,
America/Toronto,1635652800000,2021-11-07 21:11:49.362,2021-11-07 21:11:47.488,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,4eac2337-56dc-4505-ae93-85f689bb7955,4eac2337-56dc-4505-ae93-85f689bb7955.compressed_content.json,
America/Toronto,1584244800000,2020-03-22 19:34:45.012,2020-03-22 19:34:43.982,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,06ccb791-8da3-4a94-b8a9-b84122c06bda,06ccb791-8da3-4a94-b8a9-b84122c06bda.compressed_content.json,
America/Toronto,1636257600000,2021-11-14 20:51:54.805,2021-11-14 20:51:52.713,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,da2929b9-b092-43c8-85af-567e226fe680,da2929b9-b092-43c8-85af-567e226fe680.compressed_content.json,
America/Toronto,1639285200000,2021-12-20 20:35:26.011,2021-12-19 20:35:11.256,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,438ed4d7-7c17-4b87-be16-3012d0718cb6,438ed4d7-7c17-4b87-be16-3012d0718cb6.compressed_content.json,
America/Toronto,1587873600000,2020-05-03 20:15:03.375,2020-05-03 20:15:02.023,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,b6be7b83-be29-450a-942f-e8158b1c2f0a,b6be7b83-be29-450a-942f-e8158b1c2f0a.compressed_content.json,
America/Toronto,1639890000000,2021-12-26 20:36:44.759,2021-12-26 20:36:42.303,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,52e850de-3790-45eb-81db-59448d151846,52e850de-3790-45eb-81db-59448d151846.compressed_content.json,
America/Toronto,1642914000000,2022-01-30 20:47:58.716,2022-01-30 20:47:52.566,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,919347dc-736e-467e-87fc-aca4a2061652,919347dc-736e-467e-87fc-aca4a2061652.compressed_content.json,
America/Toronto,1591502400000,2020-06-14 19:44:24.869,2020-06-14 19:44:22.721,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,28bfc660-aa12-4f3c-8b2d-ef0b23abc295,28bfc660-aa12-4f3c-8b2d-ef0b23abc295.compressed_content.json,
America/Toronto,1643518800000,2022-02-06 20:36:26.289,2022-02-06 20:36:24.051,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,93da50d0-55d3-49a0-8f14-d6db2aa8e217,93da50d0-55d3-49a0-8f14-d6db2aa8e217.compressed_content.json,
America/Toronto,1646542800000,2022-03-16 19:36:45.144,2022-03-13 19:44:16.515,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,8b2b1de6-efc9-482b-9671-2ce23f5711f5,8b2b1de6-efc9-482b-9671-2ce23f5711f5.compressed_content.json,
America/Toronto,1595131200000,2020-07-27 19:35:20.680,2020-07-26 19:34:36.168,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,ae348a7f-eb55-405b-8abb-7c9a51f93d8a,ae348a7f-eb55-405b-8abb-7c9a51f93d8a.compressed_content.json,
America/Toronto,1647147600000,2022-03-21 19:34:43.073,2022-03-20 19:40:04.468,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,f173ebda-f8da-4571-a49a-79421f580e1e,f173ebda-f8da-4571-a49a-79421f580e1e.compressed_content.json,
America/Toronto,1653796800000,2022-06-07 19:41:35.200,2022-06-07 19:40:47.505,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,5af53381-8005-44df-a545-7cfdd6584fe8,5af53381-8005-44df-a545-7cfdd6584fe8.compressed_content.json,
America/Toronto,1577595600000,2020-01-05 20:34:58.600,2020-01-05 20:34:57.964,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,36aa8fc7-f3ed-4687-a616-049f5887b8e2,36aa8fc7-f3ed-4687-a616-049f5887b8e2.compressed_content.json,
America/Toronto,1598760000000,2020-09-07 19:35:01.670,2020-09-06 19:54:28.016,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,9da29098-df89-4957-9b75-40f00df04487,9da29098-df89-4957-9b75-40f00df04487.compressed_content.json,
America/Toronto,1578200400000,2020-01-13 21:01:27.953,2020-01-12 21:11:52.333,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,f85e9e38-a893-4ee5-a974-5fe4306f6ed1,f85e9e38-a893-4ee5-a974-5fe4306f6ed1.compressed_content.json,
America/Toronto,1581829200000,2020-02-23 20:55:30.679,2020-02-23 20:55:29.884,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,cd02c062-e4c9-4e54-b4a3-246f72787644,cd02c062-e4c9-4e54-b4a3-246f72787644.compressed_content.json,
America/Toronto,1581224400000,2020-02-18 20:35:11.565,2020-02-16 20:42:42.051,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,be020e2a-8a00-4601-902c-7d8d14d005d9,be020e2a-8a00-4601-902c-7d8d14d005d9.compressed_content.json,
America/Toronto,1602388800000,2020-10-18 19:34:36.770,2020-10-18 19:34:35.586,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,7e1a0c33-9fb8-4a61-8284-a1f3226bb9ab,7e1a0c33-9fb8-4a61-8284-a1f3226bb9ab.compressed_content.json,
America/Toronto,1585454400000,2020-04-05 19:36:37.112,2020-04-05 19:36:06.383,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,b9336941-7b52-4d2a-9884-640c9cb9bd91,b9336941-7b52-4d2a-9884-640c9cb9bd91.compressed_content.json,
America/Toronto,1584849600000,2020-03-29 19:35:02.611,2020-03-29 19:35:01.820,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,91eb6a58-474c-4aec-a112-b7ab53dcb1ef,91eb6a58-474c-4aec-a112-b7ab53dcb1ef.compressed_content.json,
America/Toronto,1606021200000,2020-11-30 21:23:34.522,2020-11-29 20:34:47.351,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,ea55753f-7a92-46ab-ada8-f98ee39be3aa,ea55753f-7a92-46ab-ada8-f98ee39be3aa.compressed_content.json,
America/Toronto,1609650000000,2021-01-11 21:16:14.848,2021-01-10 20:48:04.365,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,7fcb00fc-4ca2-4376-b63d-03dfd6471a1a,7fcb00fc-4ca2-4376-b63d-03dfd6471a1a.compressed_content.json,
America/Toronto,1589083200000,2020-05-17 20:05:32.978,2020-05-17 20:05:23.433,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,445f0182-06dc-421a-a2b7-b766cfed2969,445f0182-06dc-421a-a2b7-b766cfed2969.compressed_content.json,
America/Toronto,1588478400000,2020-05-10 20:01:38.885,2020-05-10 20:01:37.576,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,491d19c0-4823-4a4d-8e2f-48ac85bb4088,491d19c0-4823-4a4d-8e2f-48ac85bb4088.compressed_content.json,
America/Toronto,1592712000000,2020-06-30 19:35:06.802,2020-06-28 19:53:42.781,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,e9100ec6-8fb4-4fc5-b2b6-11a1c9a5640c,e9100ec6-8fb4-4fc5-b2b6-11a1c9a5640c.compressed_content.json,
America/Toronto,1592107200000,2020-06-21 19:36:10.140,2020-06-21 19:36:07.789,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,b6d4a45d-bbb9-4b5b-98f1-8c926aefd0df,b6d4a45d-bbb9-4b5b-98f1-8c926aefd0df.compressed_content.json,
America/Toronto,1613278800000,2021-02-21 20:36:01.932,2021-02-21 20:35:02.016,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,bd8fc7b9-6ba9-4ec6-bb2d-64877b48c1fc,bd8fc7b9-6ba9-4ec6-bb2d-64877b48c1fc.compressed_content.json,
America/Toronto,1595736000000,2020-08-04 20:04:22.155,2020-08-02 19:35:59.400,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,0ccc077e-6ecc-4b95-a9d0-791792f32905,0ccc077e-6ecc-4b95-a9d0-791792f32905.compressed_content.json,
America/Toronto,1596340800000,2020-08-11 19:35:00.464,2020-08-09 19:34:46.468,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,3390ce72-7b47-45d6-879a-10f43b4c382d,3390ce72-7b47-45d6-879a-10f43b4c382d.compressed_content.json,
America/Toronto,1618718400000,2021-04-25 19:35:21.430,2021-04-25 19:35:20.606,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,e03b79a6-42be-44db-93eb-ba9bc3f02359,e03b79a6-42be-44db-93eb-ba9bc3f02359.compressed_content.json,
America/Toronto,1599969600000,2020-09-22 19:50:22.882,2020-09-20 19:36:31.624,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,a460fd1d-bb97-4c5a-ba30-bbd508ca887f,a460fd1d-bb97-4c5a-ba30-bbd508ca887f.compressed_content.json,
America/Toronto,1599364800000,2020-09-15 20:10:22.081,2020-09-13 19:52:00.605,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,ec9bfe57-ae97-4e8b-87e7-ef55b2517d46,ec9bfe57-ae97-4e8b-87e7-ef55b2517d46.compressed_content.json,
America/Toronto,1622347200000,2021-06-06 19:38:01.134,2021-06-06 19:38:00.087,0,0,2,im26HRLwRA,X,com.sec.android.app.shealth,5e378beb-948e-4554-9244-8fc0bc6ff328,5e378beb-948e-4554-9244-8fc0bc6ff328.compressed_content.json,
