com.samsung.shealth.step_daily_trend,6212007,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
c77edf8a-1153-4514-bdf0-9a086d08ae72.binning_data.json,2019-12-27 05:03:54.422,2019-12-27 05:00:00.683,com.sec.android.app.shealth,0,3545,1.7222222,2655.23,126.49,im26HRLwRA,com.sec.android.app.shealth,c77edf8a-1153-4514-bdf0-9a086d08ae72,1577318400000,
46be7c78-eebd-40b5-b198-201f4f7bfe77.binning_data.json,2020-01-01 05:00:00.762,2020-01-01 05:00:00.762,com.sec.android.app.shealth,0,5541,1.9444443,4163.08,198.01999,im26HRLwRA,com.sec.android.app.shealth,46be7c78-eebd-40b5-b198-201f4f7bfe77,1577750400000,
e12f23b6-d62e-4ece-96e4-4bb0bb5a9790.binning_data.json,2020-01-04 04:15:12.863,2020-01-03 10:52:17.977,com.sec.android.app.shealth,-2,5710,1.3502117,4352.47,203.86,VfS0qUERdZ,com.sec.android.app.shealth,e12f23b6-d62e-4ece-96e4-4bb0bb5a9790,1578009600000,
5b115e48-5740-4813-9511-a6dc3d9cea57.binning_data.json,2020-01-03 02:16:21.543,2020-01-02 11:01:07.164,com.sec.android.app.shealth,-2,3820,1.3928288,2914.04,132.76,VfS0qUERdZ,com.sec.android.app.shealth,5b115e48-5740-4813-9511-a6dc3d9cea57,1577923200000,
3a2aa235-b748-498d-bc71-c3adf7ffc315.binning_data.json,2020-01-03 05:00:02.082,2020-01-03 05:00:02.082,com.sec.android.app.shealth,0,3820,1.9166666,2914.04,132.76,im26HRLwRA,com.sec.android.app.shealth,3a2aa235-b748-498d-bc71-c3adf7ffc315,1577923200000,
4cb06ecf-1d9b-458b-a871-1b452cd0ec47.binning_data.json,2019-12-30 03:06:00.595,2019-12-29 05:24:19.788,com.sec.android.app.shealth,-2,2975,1.2578468,2207.59,112.74999,VfS0qUERdZ,com.sec.android.app.shealth,4cb06ecf-1d9b-458b-a871-1b452cd0ec47,1577577600000,
1b9efe13-a6ae-4bf1-9651-582bb517106b.binning_data.json,2019-12-30 05:37:26.967,2019-12-30 05:37:26.967,com.sec.android.app.shealth,0,2975,4.638889,2207.59,112.74999,im26HRLwRA,com.sec.android.app.shealth,1b9efe13-a6ae-4bf1-9651-582bb517106b,1577577600000,
7ecfb72d-90ee-49c1-b54c-f80fab5f1bc8.binning_data.json,2020-01-04 05:00:02.078,2020-01-04 05:00:02.078,com.sec.android.app.shealth,0,5710,2.1352177,4352.47,203.86,im26HRLwRA,com.sec.android.app.shealth,7ecfb72d-90ee-49c1-b54c-f80fab5f1bc8,1578009600000,
0bd0c8bd-3c73-4b54-beb8-295c794a632f.binning_data.json,2020-01-07 01:43:08.272,2020-01-06 10:07:55.591,com.sec.android.app.shealth,-2,2633,1.4254111,2032.5901,93.1,VfS0qUERdZ,com.sec.android.app.shealth,0bd0c8bd-3c73-4b54-beb8-295c794a632f,1578268800000,
abe7dd39-cde6-41c4-92ed-354f356df704.binning_data.json,2020-01-06 05:00:01.783,2020-01-06 05:00:01.783,com.sec.android.app.shealth,0,2260,1.6944444,1674.86,83.36,im26HRLwRA,com.sec.android.app.shealth,abe7dd39-cde6-41c4-92ed-354f356df704,1578182400000,
