com.samsung.shealth.exercise.weather,6212007,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,0,2020-07-06 13:54:17.286,43.692028,,E. 90,Sunny,0,1,TWC,2020-07-06 13:54:17.287,2020-07-06 13:54:17.287,1,-79.5663,27.0,57,UTC-0400,im26HRLwRA,3f274ae0-98c3-4d9e-9455-cb9ee9c8c1b6,com.sec.android.app.shealth,km/h,0,16.0,1,39ad93c4-5b52-4304-8ba0-e06ecf61fba0,
,0,2020-09-09 23:09:11.058,43.68569,,ENE. 60,Cloudy,0,1,TWC,2020-09-09 23:09:11.061,2020-09-09 23:09:11.061,1,-79.56528,18.0,88,UTC-0400,im26HRLwRA,6e41e381-f430-4ae9-ba5b-7ea3c03536c2,com.sec.android.app.shealth,km/h,0,3.0,3,0bd85ed1-9c06-4426-9a2e-85ab66cc233b,
,0,2020-07-09 13:54:18.015,43.69204,,SE. 140,Sunny,0,1,TWC,2020-07-09 13:54:18.019,2020-07-09 13:54:18.019,1,-79.56632,29.0,58,UTC-0400,im26HRLwRA,03cd6644-611b-4239-9e04-f376aa146aa0,com.sec.android.app.shealth,km/h,0,10.0,1,9421ca0e-ac26-4b64-bb76-f9e7f0df6eaa,
,0,2020-09-29 23:34:07.392,43.69203,,S. 170,Cloudy,0,1,TWC,2020-09-29 23:34:07.393,2020-09-29 23:34:07.393,1,-79.566284,17.0,63,UTC-0400,im26HRLwRA,97a53191-b858-47b1-b9eb-e6b0cb12e1fd,com.sec.android.app.shealth,km/h,0,8.0,3,131c46d0-d0a3-424f-8206-a87cf74b1768,
,0,2020-10-31 18:25:37.201,43.69204,,SSE. 160,Mostly Cloudy,0,1,TWC,2020-10-31 18:25:37.203,2020-10-31 18:25:37.203,1,-79.56631,6.0,53,UTC-0400,im26HRLwRA,550f0cab-1218-4cef-9e40-46c2ffac251e,com.sec.android.app.shealth,km/h,0,16.0,3,e27414ec-7385-4f2c-a068-a324ae4a3805,
,0,2020-08-01 00:07:09.199,43.692036,,N. 350,Sunny,0,1,TWC,2020-08-01 00:07:09.202,2020-08-01 00:07:09.202,1,-79.56626,27.0,48,UTC-0400,im26HRLwRA,460e5d1d-6a32-4d71-b701-67de3997ec05,com.sec.android.app.shealth,km/h,0,10.0,1,436a7937-3edb-4d66-8486-354a74edfa10,
,0,2020-07-14 23:16:15.178,43.683544,,SSE. 150,Mostly Cloudy,0,1,TWC,2020-07-14 23:16:15.179,2020-07-14 23:16:15.179,1,-79.56453,26.0,47,UTC-0400,im26HRLwRA,50703b77-95c4-4e1c-a1f0-7857f7309820,com.sec.android.app.shealth,km/h,0,14.0,3,3078e662-6754-443a-84c9-a7bc6da458e3,
,0,2020-07-18 13:13:02.245,43.751972,,SW. 230,Fair,0,1,TWC,2020-07-18 13:13:02.246,2020-07-18 13:13:02.246,1,-79.18959,26.0,68,UTC-0400,im26HRLwRA,78c05b24-b908-41de-8c71-37f90961a27a,com.sec.android.app.shealth,km/h,0,6.0,1,223555f2-3544-4307-af67-28c58290b320,
,0,2020-08-07 01:28:15.333,43.692028,,SE. 140,Fair,0,1,TWC,2020-08-07 01:28:15.335,2020-08-07 01:28:15.335,1,-79.566284,21.0,53,UTC-0400,im26HRLwRA,af0e715b-7a1f-4c15-a2fa-ab77eda7e87f,com.sec.android.app.shealth,km/h,0,10.0,18,c7d919fa-09c5-4548-a630-1c7ab6c3a735,
,0,2020-07-14 23:45:13.841,43.69202,,SSE. 160,Mostly Cloudy,0,1,TWC,2020-07-14 23:45:13.843,2020-07-14 23:45:13.843,1,-79.566284,26.0,48,UTC-0400,im26HRLwRA,deb73da7-f1bd-4f4a-a20e-33356678af70,com.sec.android.app.shealth,km/h,0,13.0,3,6ed85a02-3c39-4eb4-81ae-d76b8ffc5d5a,
