com.samsung.shealth.activity.day_summary,6212007,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
3545,2317735,,0,2019-12-27 05:03:54.260,2019-12-26 05:00:01.355,60,120000,63,2655.2297,126.49002,d5de8513-3b87-4e80-baae-98427be0b401.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,2317735,32220000,d5de8513-3b87-4e80-baae-98427be0b401,1577318400000,
5710,3683007,,0,2020-01-04 04:15:12.196,2020-01-03 05:00:01.555,60,300000,101,4352.47,203.85995,94b8db6f-d2b3-407c-bdb9-ffaa48c948c3.extra_data.json,im26HRLwRA,14373,com.sec.android.app.shealth,3668634,21120000,94b8db6f-d2b3-407c-bdb9-ffaa48c948c3,1578009600000,
2975,1966923,,0,2019-12-30 05:37:26.773,2019-12-29 05:23:44.983,60,120000,53,2207.59,112.74999,bffa51b5-cf74-4269-8ba9-ce12c1e0afc7.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,1966923,21360000,bffa51b5-cf74-4269-8ba9-ce12c1e0afc7,1577577600000,
3820,2464753,,0,2020-01-03 02:16:20.971,2020-01-02 05:00:01.411,60,60000,68,2914.0408,132.76,278a4d15-b492-4201-9634-d5e4bdf2ee72.extra_data.json,im26HRLwRA,4400,com.sec.android.app.shealth,2460353,21600000,278a4d15-b492-4201-9634-d5e4bdf2ee72,1577923200000,
4311,2865769,,0,2020-01-02 04:33:25.610,2020-01-01 05:00:00.477,60,60000,78,3273.491,153.57999,377d87d6-d1c3-4d9a-b2f6-cb291dc51ed9.extra_data.json,im26HRLwRA,6400,com.sec.android.app.shealth,2859369,26280000,377d87d6-d1c3-4d9a-b2f6-cb291dc51ed9,1577836800000,
4826,3156761,,0,2020-01-05 03:57:41.134,2020-01-04 05:00:01.723,60,120000,86,3608.7292,180.46996,6de7f847-8880-4428-9f31-37bd2193ba56.extra_data.json,im26HRLwRA,13841,com.sec.android.app.shealth,3142920,23700000,6de7f847-8880-4428-9f31-37bd2193ba56,1578096000000,
4732,3099205,,0,2020-01-10 05:00:00.982,2020-01-09 05:00:00.391,60,120000,85,3588.4688,195.15997,20335dc3-c93b-4ed6-9d05-d67188ecf3bf.extra_data.json,im26HRLwRA,1200,com.sec.android.app.shealth,3098005,20280000,20335dc3-c93b-4ed6-9d05-d67188ecf3bf,1578528000000,
2957,1940213,,0,2020-01-09 05:00:00.475,2020-01-08 05:00:00.380,60,120000,53,2257.9204,108.18998,4f8c34f0-5b44-44ec-abc6-71b0a447b79b.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,1940213,20280000,4f8c34f0-5b44-44ec-abc6-71b0a447b79b,1578441600000,
4586,2981917,,0,2020-01-11 02:39:30.132,2020-01-10 05:00:00.812,60,120000,81,3480.0696,187.62997,86ce8934-ce30-4ebd-a0ea-469a00e1a1c5.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,2981917,22080000,86ce8934-ce30-4ebd-a0ea-469a00e1a1c5,1578614400000,
3839,2374827,,0,2020-01-08 02:08:47.492,2020-01-07 05:00:00.515,60,300000,65,2937.9207,133.78001,e10e6e21-20b5-4860-b502-2071903c6a36.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,2374827,18120000,e10e6e21-20b5-4860-b502-2071903c6a36,1578355200000,
4172,2677007,,0,2020-01-14 05:00:00.747,2020-01-13 05:00:01.269,60,180000,73,3172.1704,171.73,0fc5e472-52a3-47a7-82d0-c6004d22d156.extra_data.json,im26HRLwRA,2000,com.sec.android.app.shealth,2675007,16680000,0fc5e472-52a3-47a7-82d0-c6004d22d156,1578873600000,
3466,2223538,,0,2020-01-17 02:01:15.311,2020-01-16 05:00:00.586,60,120000,61,2661.1895,141.71,690703e5-c72d-4ea5-b7a3-2a39e4ea645b.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,2223538,19620000,690703e5-c72d-4ea5-b7a3-2a39e4ea645b,1579132800000,
4625,2940603,,0,2020-01-16 01:35:01.307,2020-01-15 05:00:01.448,60,120000,80,3560.0098,189.69,c2e65af6-7af4-4a95-bd5c-c881b2073bfe.extra_data.json,im26HRLwRA,6800,com.sec.android.app.shealth,2933803,19320000,c2e65af6-7af4-4a95-bd5c-c881b2073bfe,1579046400000,
3431,2221226,,0,2020-01-15 03:10:13.846,2020-01-14 05:00:00.550,60,60000,60,2607.7493,141.23003,49010a01-5876-41a1-a510-36824ef779a2.extra_data.json,im26HRLwRA,1600,com.sec.android.app.shealth,2219626,19560000,49010a01-5876-41a1-a510-36824ef779a2,1578960000000,
2529,1644065,,0,2020-01-20 03:30:02.904,2020-01-19 05:00:01.442,60,180000,45,1892.8401,104.36,47518cac-2dcf-4be5-894b-f2348665803b.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,1644065,28800000,47518cac-2dcf-4be5-894b-f2348665803b,1579392000000,
2435,1555324,,0,2020-01-22 02:43:10.474,2020-01-21 05:00:00.814,60,60000,41,1868.1404,99.85,166186d0-9e80-47bb-8a84-d3d384b6e804.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,1555324,18780000,166186d0-9e80-47bb-8a84-d3d384b6e804,1579564800000,
2722,1774767,,0,2020-01-23 02:01:51.817,2020-01-22 05:00:01.072,60,60000,48,2079.06,111.54999,ec46283e-1200-460a-b797-82c0d87e228e.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,1774767,19320000,ec46283e-1200-460a-b797-82c0d87e228e,1579651200000,
3145,2060643,,0,2020-01-21 01:38:39.306,2020-01-20 05:00:01.652,60,60000,56,2406.5095,128.82999,f5414c8a-d0e5-4e0e-bc6c-277f070f0665.extra_data.json,im26HRLwRA,400,com.sec.android.app.shealth,2060243,17340000,f5414c8a-d0e5-4e0e-bc6c-277f070f0665,1579478400000,
0,0,,0,2019-12-11 21:51:20.161,2019-12-11 21:51:20.161,-1,0,0,0.0,0.0,3ab7fac1-26e8-4b16-abbe-b109461f315e.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,0,-1,3ab7fac1-26e8-4b16-abbe-b109461f315e,1573948800000,
5224,3369931,,0,2020-01-26 02:39:52.485,2020-01-25 05:00:00.357,60,240000,93,3914.4795,215.58,a4362705-359c-4926-b967-32688500c207.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,3369931,25980000,a4362705-359c-4926-b967-32688500c207,1579910400000,
4715,3089334,,0,2020-01-28 02:20:16.897,2020-01-27 05:00:10.663,60,120000,85,3600.6,193.13998,3f601ef5-21a0-4f59-a40d-8da498556ce8.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,3089334,19920000,3f601ef5-21a0-4f59-a40d-8da498556ce8,1580083200000,
