com.samsung.shealth.tracker.pedometer_step_count,6212007,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
60000,4,0,123,2022-05-05 11:21:00.000,,,2022-05-05 11:23:40.892,2022-05-05 11:21:05.406,123,1.6183333,97.100006,4.93,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 11:22:00.000,d6ebd419-18d9-43a3-947d-e8039ed25f3e,
46771,4,0,77,2022-05-05 11:27:00.000,,,2022-05-05 11:35:01.890,2022-05-05 11:35:01.890,86,1.3888888,64.96,3.54,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 11:28:00.000,20c7aa5d-992b-4905-bb01-1bcad6fd22e0,
7007,4,0,14,2022-05-05 12:33:00.000,,,2022-05-05 12:34:14.160,2022-05-05 12:34:14.160,14,1.5555556,10.9,0.59,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 12:34:00.000,d78afc37-4088-4f12-9907-ce61f6bb7283,
8549,4,0,15,2022-05-05 12:50:00.000,,,2022-05-05 12:53:23.250,2022-05-05 12:53:23.250,15,1.3333334,11.4,0.63,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 12:51:00.000,5ab15cc1-0b01-4f63-ba2b-51d879dabe30,
53453,4,0,110,2022-05-05 13:03:00.000,,,2022-05-05 13:05:32.328,2022-05-05 13:05:32.328,110,1.6111112,86.12,4.47,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 13:04:00.000,02fa6d8b-f2f6-427a-a4e0-202b6ed87362,
31197,4,0,57,2022-05-05 16:14:00.000,,,2022-05-05 16:15:12.131,2022-05-05 16:15:12.131,57,1.3888888,43.33,2.35,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 16:15:00.000,d54f8a5c-14c2-46e1-864a-289385c6b3e5,
5436,4,0,10,2022-05-05 11:36:00.000,,,2022-05-05 11:36:37.418,2022-05-05 11:36:37.418,10,1.3611112,7.4,0.44,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 11:37:00.000,435096a6-b161-49b8-951f-26e1f1c02af7,
6925,4,0,11,2022-05-05 13:11:00.000,,,2022-05-05 13:13:21.508,2022-05-05 13:13:21.508,11,1.1666666,8.08,0.49,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 13:12:00.000,0e4a0182-8ba1-4a8b-adb6-315e61fb7a02,
25178,4,0,46,2022-05-05 16:22:00.000,,,2022-05-05 16:23:46.197,2022-05-05 16:23:46.197,46,1.3888888,34.97,1.88,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 16:23:00.000,2d457cd5-3af7-4b95-8834-7d13e6593ee5,
27787,4,0,49,2022-05-05 12:26:00.000,,,2022-05-05 12:27:58.416,2022-05-05 12:27:58.416,49,1.3333334,37.05,2.03,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 12:27:00.000,de25e602-44a2-4758-a2cc-b77558fd9cc9,
