Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2021-08-29,Elliptical Trainer,Cardio,304.0,25,,,,,
2021-08-29,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,4738,
2021-08-30,Garmin Connect calorie adjustment,Cardio,304.0,1,,,,2636,
2021-08-31,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,2771,
2021-09-01,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,5382,
2021-09-02,Garmin Connect calorie adjustment,Cardio,373.0,1,,,,2867,
2021-09-03,Garmin Connect calorie adjustment,Cardio,173.0,1,,,,2412,
2021-09-04,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,253,
2021-09-05,Garmin Connect calorie adjustment,Cardio,79.0,1,,,,3738,
2021-09-06,"Aerobics, general",Cardio,712.0,54,,,,,
2021-09-06,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,2746,
2021-09-07,Garmin Connect calorie adjustment,Cardio,254.0,1,,,,2360,
2021-09-08,Garmin Connect calorie adjustment,Cardio,286.0,1,,,,3462,
2021-09-09,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,676,
2021-09-10,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,3395,
2021-09-11,"Aerobics, general",Cardio,700.0,86,,,,,
2021-09-11,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,3770,
2021-09-12,"Aerobics, general",Cardio,691.0,50,,,,,
2021-09-12,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,6349,
2021-09-13,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,7846,
2021-09-14,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,1950,
2021-09-15,Garmin Connect calorie adjustment,Cardio,387.0,1,,,,2588,
2021-09-16,Garmin Connect calorie adjustment,Cardio,205.0,1,,,,2123,
2021-09-17,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,4978,
2021-09-18,Garmin Connect calorie adjustment,Cardio,274.0,1,,,,2694,
2021-09-19,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,3300,
2021-09-20,"Aerobics, general",Cardio,923.0,87,,,,,
2021-09-20,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,6953,
2021-09-21,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,1314,
2021-09-22,"Aerobics, general",Cardio,775.0,57,,,,,
2021-09-22,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,2932,
2021-09-23,Leg Press,Strength,,,4,10,360.0,,
2021-09-23,Lunge,Strength,,,4,10,50.0,,
2021-09-24,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,3218,
2021-09-25,"Aerobics, general",Cardio,685.0,51,,,,,
2021-09-25,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,8345,
2021-09-26,"Aerobics, general",Cardio,432.0,32,,,,,
2021-09-26,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,2867,
2021-09-27,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,1619,
2021-09-28,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,606,
2021-09-29,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,1044,
2021-09-30,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,9609,
2021-10-01,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,4660,
2021-10-02,"Aerobics, general",Cardio,774.0,60,,,,,
2021-10-02,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,3683,
2021-10-03,"Aerobics, general",Cardio,836.0,62,,,,,
2021-10-03,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,2681,
2021-10-04,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,1673,
2021-10-05,Garmin Connect calorie adjustment,Cardio,163.0,1,,,,3552,
2021-10-06,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,1652,
2021-10-07,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,632,
2021-10-08,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,1583,
2021-10-09,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,6726,
2021-10-10,"Aerobics, general",Cardio,626.0,53,,,,,
2021-10-10,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,11461,
2021-10-11,"Aerobics, general",Cardio,677.0,52,,,,,
2021-10-11,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,2997,
2021-10-12,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,594,
2021-10-13,Garmin Connect calorie adjustment,Cardio,294.0,1,,,,2247,
2021-10-14,Garmin Connect calorie adjustment,Cardio,186.0,1,,,,3803,
2021-10-15,Garmin Connect calorie adjustment,Cardio,211.0,1,,,,2838,
2021-10-18,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,1364,
2021-10-19,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,1356,
2021-11-12,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,996,
2021-11-13,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,300,
2021-11-15,Elliptical Trainer,Cardio,281.0,21,,,,,
2021-11-15,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,2602,
2021-11-16,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,6716,
2021-11-17,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,2047,
2021-11-18,"Aerobics, general",Cardio,734.0,57,,,,,
2021-11-18,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,4694,
2021-11-19,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,2335,
2021-11-20,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,4024,
2021-11-21,"Aerobics, general",Cardio,350.0,25,,,,,
2021-11-21,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,3528,
2021-11-22,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,730,
2021-11-23,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,4788,
2021-11-24,"Aerobics, general",Cardio,682.0,57,,,,,
2021-11-24,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,4070,
2021-11-25,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,4101,
2021-11-26,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,1078,
2021-11-27,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,6236,
2021-11-28,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,800,
2021-11-29,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,716,
2021-11-30,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,3574,
2021-12-02,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,1278,
2021-12-03,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,605,
2021-12-04,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,722,
2022-02-06,"Aerobics, general",Cardio,354.0,26,,,,,
2022-02-06,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,6106,
2022-02-07,"Aerobics, general",Cardio,465.0,80,,,,,
2022-02-07,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,7186,
2022-02-08,"Aerobics, general",Cardio,712.0,55,,,,,
2022-02-08,"Aerobics, general",Cardio,772.0,89,,,,,
2022-02-08,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,6620,
2022-02-09,Garmin Connect calorie adjustment,Cardio,33.0,1,,,,3679,
2022-02-10,"Aerobics, general",Cardio,695.0,60,,,,,
2022-02-10,"Aerobics, general",Cardio,811.0,115,,,,,
2022-02-10,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,7129,
2022-02-11,"Aerobics, general",Cardio,617.0,90,,,,,
2022-02-11,Garmin Connect calorie adjustment,Cardio,0.0,1,,,,2422,
2022-02-12,"Aerobics, general",Cardio,504.0,53,,,,,
