Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2019-04-10,Lunch,1649.6,3.4,0.0,0.0,0.0,0.0,0.0,68.0,3292.8,332.7,47.6,6.8,64.0,16.4,13.6,57.2,84.4,
2019-04-11,Lunch,611.0,23.3,6.2,2.7,6.3,0.0,654.3,609.3,177.2,20.4,4.6,3.3,78.0,15.0,0.0,19.4,26.2,
2019-04-12,Breakfast,201.1,0.3,0.0,0.0,0.0,0.0,1.3,105.0,0.0,4.0,0.0,0.0,45.3,50.0,250.0,32.5,0.0,
2019-04-12,Lunch,363.5,13.5,3.0,0.0,0.0,0.0,370.0,502.3,140.0,21.6,4.6,2.3,39.9,12.0,0.0,4.0,8.0,
2019-04-12,Dinner,537.6,21.3,11.8,0.0,0.0,0.4,36.4,701.5,45.5,61.1,3.5,5.4,21.4,12.4,4.7,229.7,17.7,
2019-04-12,Snacks,894.5,18.0,2.4,6.6,4.1,0.0,0.0,2402.7,17047.1,145.8,76.3,35.0,90.8,5820.7,1473.9,312.6,457.9,
2019-04-13,Breakfast,36.1,0.3,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,0.0,0.0,7.8,50.0,250.0,10.0,0.0,
2019-04-13,Lunch,1287.8,21.4,5.3,0.0,0.0,0.0,555.0,997.9,464.8,226.2,11.5,6.4,50.0,31.7,4.7,27.7,52.1,
2019-04-13,Dinner,406.2,9.1,2.3,0.0,0.0,0.0,185.0,570.0,70.0,63.2,8.0,4.0,25.6,6.0,0.0,10.0,24.0,
2019-04-14,Breakfast,46.1,0.3,0.0,0.0,0.0,0.0,1.3,0.0,0.0,3.0,1.0,0.0,8.0,50.0,250.0,10.0,0.0,
2019-04-14,Lunch,1406.9,37.2,9.8,0.2,0.0,0.0,381.3,1242.0,1041.9,158.5,11.3,13.3,104.0,582.2,104.3,22.8,43.1,
2019-04-14,Dinner,242.9,10.5,6.3,0.0,0.0,0.3,29.1,64.0,420.8,3.2,0.4,1.1,34.4,0.9,42.8,182.5,3.1,
2019-04-14,Snacks,428.7,12.1,1.4,4.0,4.0,0.0,0.0,1185.7,8519.0,60.3,35.1,8.9,45.7,2813.4,726.8,152.2,228.7,
2019-04-15,Breakfast,211.1,0.3,0.0,0.0,0.0,0.0,1.3,105.0,0.0,6.0,1.0,0.0,45.5,50.0,250.0,32.5,0.0,
2019-04-15,Lunch,872.9,24.6,9.2,0.0,0.0,0.0,370.0,712.5,1389.3,42.6,1.2,6.4,116.4,25.1,139.2,6.3,23.8,
2019-04-15,Dinner,701.1,26.8,13.1,0.7,2.0,0.5,285.4,837.3,82.1,65.1,8.0,4.1,58.5,4.9,0.0,330.4,27.9,
2019-04-15,Snacks,471.6,19.6,4.2,1.6,3.8,0.4,5.5,344.6,1020.1,66.6,12.6,27.8,14.3,325.0,121.8,27.5,33.6,
2019-04-16,Breakfast,211.1,0.3,0.0,0.0,0.0,0.0,1.3,105.0,0.0,6.0,1.0,0.0,45.5,50.0,250.0,32.5,0.0,
2019-04-16,Lunch,387.3,14.4,4.4,0.7,2.0,0.0,412.7,371.4,88.5,32.8,4.0,2.1,35.7,10.9,0.0,8.2,28.9,
2019-04-16,Dinner,1013.4,41.0,14.5,0.3,0.0,0.1,75.8,1438.8,0.0,106.3,5.5,13.4,43.0,156.4,10.7,21.4,46.0,
2019-04-16,Snacks,414.0,14.0,4.6,3.6,4.8,0.0,17.0,303.3,1096.1,55.9,23.2,17.1,30.0,313.0,122.8,41.4,23.5,
2019-04-17,Breakfast,46.1,0.3,0.0,0.0,0.0,0.0,1.3,0.0,0.0,3.0,1.0,0.0,8.0,50.0,250.0,10.0,0.0,
2019-04-17,Lunch,828.0,12.2,4.4,0.4,0.0,0.0,71.7,137.9,384.4,1.7,0.4,1.1,51.6,0.9,42.8,0.7,22.0,
2019-04-17,Dinner,320.0,4.0,0.8,0.0,0.0,0.0,0.0,500.0,0.0,62.0,8.0,4.0,16.0,0.0,0.0,8.0,20.0,
2019-04-17,Snacks,210.0,7.0,4.0,0.0,0.0,0.0,15.0,160.0,0.0,25.0,12.0,5.0,20.0,0.0,0.0,20.0,2.0,
2019-04-18,Breakfast,211.1,0.3,0.0,0.0,0.0,0.0,1.3,105.0,0.0,7.0,1.0,0.0,45.5,50.0,750.0,32.5,0.0,
2019-04-18,Lunch,410.5,13.2,3.6,0.7,0.6,0.0,429.3,174.6,317.2,15.9,5.0,2.1,59.5,216.6,3.8,12.9,9.4,
2019-04-18,Dinner,150.0,12.0,1.0,0.0,0.0,0.0,10.0,230.0,0.0,7.0,2.0,1.0,3.0,130.0,6.0,4.0,6.0,
2019-04-18,Snacks,723.3,13.9,4.6,2.5,5.8,0.0,17.0,422.2,1272.9,136.6,25.6,97.1,27.3,232.3,141.5,47.3,24.5,
2019-04-19,Breakfast,211.1,0.3,0.0,0.0,0.0,0.0,1.3,105.0,0.0,6.0,1.0,0.0,45.5,50.0,250.0,32.5,0.0,
2019-04-19,Lunch,354.7,12.3,3.4,0.1,0.9,0.0,414.1,298.7,140.0,17.0,4.9,4.6,49.4,376.9,8.7,8.5,12.9,
2019-04-19,Snacks,210.0,7.0,4.0,0.0,0.0,0.0,15.0,160.0,0.0,25.0,12.0,5.0,20.0,0.0,0.0,20.0,2.0,
2019-04-20,Lunch,1120.0,52.0,20.0,0.0,0.0,0.0,120.0,2840.0,0.0,112.0,8.0,8.0,48.0,24.0,32.0,60.0,40.0,
2019-04-21,Breakfast,266.1,0.3,0.0,0.0,0.0,0.0,1.3,140.0,0.0,7.0,1.0,0.0,58.0,50.0,250.0,40.0,0.0,
2019-04-21,Lunch,292.9,12.2,3.4,0.0,0.9,0.0,414.1,237.0,140.0,3.7,0.0,0.9,45.8,12.0,1.8,5.8,11.5,
